del;area;pop_t;pop_urb;mig_out;mig_in;act_t;act_h;act_f;unemp_t;unemp_h;unemp_f;emp_t;emp_m;emp_f;emp_agr_t;emp_inds_t;emp_min_t;emp_bpw_t;emp_shop_t;emp_trans_t;emp_adm_t;emp_serv_t;emp_unk_t;pop_edu_noinst_t;pop_edu_prim_t;pop_edu_sec_t;pop_edu_sup_t;pop_edu_tot
TS211D;383;85380;64165;2076;4245;26334;18822;7512;2201;1496;705;24133;17326;6807;1615;8038;131;4187;2613;1034;3868;2399;248;13675;26714;24103;5127;69619
TS211E;114;27726;25078;717;3524;10575;7069;3506;1054;628;426;9521;6441;3080;356;3130;67;1378;769;519;1501;1618;183;4075;8456;8137;2022;22690
TS2120;76;81294;81294;5605;12093;31121;20624;10497;2380;1503;877;28741;19121;9620;569;8327;272;3014;2516;2067;6446;4987;543;6204;21308;27253;13757;68522
TS2121;50;18852;18852;674;1216;7055;4688;2367;570;451;119;6485;4237;2248;467;2725;21;737;550;358;679;878;70;2627;7371;4470;611;15079
TS2122;47;21799;21799;754;1899;8373;5876;2497;725;522;203;7648;5354;2294;291;2628;88;787;639;488;989;1646;92;2633;7651;6699;1058;18040
TS2123;213;25947;25947;717;649;8335;5684;2651;843;649;194;7492;5035;2457;391;3988;56;646;643;280;878;461;149;4840;8131;6721;1190;20882
TS2124;112;12650;12650;329;542;4892;2995;1897;489;346;143;4403;2649;1754;436;2182;17;483;223;173;558;227;104;2055;4238;3506;559;10359
TS2125;144;55272;55272;1780;3435;20408;13070;7338;1314;908;406;19094;12162;6932;687;9541;75;2339;1935;752;1828;1650;287;7404;18861;15145;2778;44187
TS2126;52;27382;27382;528;2757;11059;6927;4132;813;604;209;10246;6323;3923;391;5319;41;1023;895;508;993;920;156;3256;10091;7428;1196;21971
TS2127;178;75885;75885;2081;2198;27577;18163;9414;1918;1309;609;25659;16854;8805;2943;9578;123;3554;2570;1112;3202;2102;475;12296;25031;19897;3615;60839
TS2128;46;13695;13695;525;539;4343;3300;1043;348;247;101;3995;3053;942;958;929;27;392;436;177;602;381;93;2241;4288;3995;792;11317
TS2129;22;31154;31154;941;1643;10999;7563;3436;577;427;150;10422;7136;3286;1627;4467;73;834;864;617;1100;706;134;3421;10307;9560;1715;25002
TS212A;215;32186;29617;1717;3379;15436;9696;5740;1134;746;388;14302;8950;5352;144;7710;35;1006;1701;440;1839;1064;363;5007;11706;13267;2925;32905
TS212B;45;28722;28722;641;1801;10318;6657;3661;1007;658;349;9311;5999;3312;293;4288;83;1126;723;433;1469;664;232;3319;8975;8834;1998;23126
TS212C;13;22947;22947;732;1827;9176;5202;3974;651;370;281;8525;4832;3693;384;4269;31;919;494;302;1485;538;103;2631;6991;7320;1736;18678
TS2130;197;71719;54902;4616;5649;24743;16884;7859;1903;1187;716;22840;15697;7143;3554;4836;273;2975;1746;1013;4757;3520;166;10525;22738;20378;5909;59550
TS2131;230;29559;10167;651;802;9429;6573;2856;1495;1271;224;7934;5302;2632;1389;2763;32;1373;833;276;755;461;52;6211;10897;6035;651;23794
TS2132;302;22732;5093;902;403;5881;4413;1468;693;551;142;5188;3862;1326;2506;227;10;1098;370;144;583;222;28;6503;7702;3561;488;18253
TS2133;445;28577;5849;1553;430;7959;6653;1306;1292;965;327;6667;5688;979;981;1135;26;1833;1079;199;793;568;53;8076;10092;4763;732;23662
TS2134;333;11057;3179;536;345;3122;2377;745;489;327;162;2633;2050;583;1284;99;6;405;231;61;410;125;12;3035;3678;1995;274;8982
TS2135;359;46276;4633;1952;564;12206;10353;1853;2075;1515;560;10131;8838;1293;1429;1465;102;2090;2173;450;1271;993;158;12758;15472;7793;1206;37229
TS2136;266;41064;18302;1347;913;12711;9758;2953;1739;1172;567;10972;8586;2386;1250;2092;49;2044;2568;452;1405;1051;61;9387;14669;8272;1153;33480
TS2137;131;23334;19883;1000;1191;8095;5943;2152;686;372;314;7409;5571;1838;2330;1350;53;787;614;265;1356;601;53;4538;6666;6879;1277;19360
